Rank,Beer,Brewery,State,ABV,Style
73,Assassin Imperial Stout,Toppling Goliath Brewing Company,Iowa,12,American Double / Imperial Stout
74,Drie Fonteinen Oude Geuze Vintage,Brouwerij Drie Fonteinen,Belgium,6,Gueuze
75,Society & Solitude #5,Hill Farmstead Brewery,Vermont,8.1,American Double / Imperial IPA
76,Black Gold (2015),Central Waters Brewing Co.,Wisconsin,11,American Double / Imperial Stout
77,Permanent Funeral,3 Floyds Brewing Co.,Indiana,10.5,American Double / Imperial IPA
78,Columbus Bodhi DIPA,Columbus Brewing Company,Ohio,8.5,American Double / Imperial IPA
79,No Rules,Perrin Brewery,Michigan,15,American Porter
80,Fort Point Pale Ale,Trillium Brewing Company,Massachusetts,6.6,American Pale Ale (APA)
81,Sosus,Toppling Goliath Brewing Company,Iowa,8,American Double / Imperial IPA
82,Double Dry Hopped Congress Street,Trillium Brewing Company,Massachusetts,7.2,American IPA
83,Stickee Monkee,Firestone Walker Brewing Co.,California,13.4,Quadrupel (Quad)
84,Maple Bacon Coffee Porter,Funky Buddha Brewery,Florida,6.4,American Porter
85,St. Bernardus Abt 12,Brouwerij St. Bernardus NV,Belgium,10,Quadrupel (Quad)
86,Headroom Double IPA,Trillium Brewing Company,Massachusetts,8,American Double / Imperial IPA
87,Upper Case,Trillium Brewing Company,Massachusetts,9,American Double / Imperial IPA
88,Congress Street IPA,Trillium Brewing Company,Massachusetts,7.2,American IPA
89,Cantillon Saint Lamvinus,Brasserie Cantillon,Belgium,5,Lambic - Fruit
90,Last Snow,Funky Buddha Brewery,Florida,6.5,American Porter
91,Curiosity Twenty Two,Tree House Brewing Company,Massachusetts,7,American IPA
92,Imperial Russian Stout - Bourbon Barrel Aged,Stone Brewing Co.,California,11.5,Russian Imperial Stout
93,Drie Fonteinen Framboos,Brouwerij Drie Fonteinen,Belgium,5,Lambic - Fruit
94,Keene Idea,Alpine Beer Company,California,8.9,American Double / Imperial IPA
95,Bourbon Barrel Champion Ground,Jackie O's Pub & Brewery,Ohio,11,American Double / Imperial Stout
96,Fuzzy,Side Project Brewing,Missouri,8,American Wild Ale
97,Mother Of All Storms,Pelican Pub & Brewery,Oregon,14,English Barleywine
98,Consecration,Russian River Brewing Company,California,10,American Wild Ale
99,Notorious Triple IPA,Boneyard Beer Company,Oregon,12,American Double / Imperial IPA
100,Imperial Eclipse Stout - Elijah Craig (12 Year),FiftyFifty Brewing Co.,California,11.9,American Double / Imperial Stout
101,Bourbon Barrel Aged Abominable: Coffee And Cinnamon,Fremont Brewing Company,Washington,11,American Strong Ale
102,Temptation,Russian River Brewing Company,California,7.5,American Wild Ale
103,All Green Everything,Other Half Brewing Co.,New York,10.5,American Double / Imperial IPA
104,Peg's G.O.O.D. RareR D.O.S.,Peg's Cantina & Brew Pub,Florida,10,American Double / Imperial Stout
105,Darkness,Surly Brewing Company,Minnesota,10.3,Russian Imperial Stout
106,See The Stars,Creature Comforts,Georgia,10.9,Russian Imperial Stout
107,Chocolate Rain,The Bruery,California,18.5,American Double / Imperial Stout
108,Weihenstephaner Hefeweissbier,Bayerische Staatsbrauerei Weihenstephan,Germany,5.4,Hefeweizen
109,Dreadnaught IPA,3 Floyds Brewing Co.,Indiana,9.5,American Double / Imperial IPA
110,Stone Enjoy By IPA,Stone Brewing Co.,California,9.4,American Double / Imperial IPA
111,Wide Awake It's Morning,Funky Buddha Brewery,Florida,10.5,American Double / Imperial Stout
112,Cantillon Lou Pepe - Framboise,Brasserie Cantillon,Belgium,5,Lambic - Fruit
113,Pallet 1,Peg's Cantina & Brew Pub,Florida,10.4,American Double / Imperial Stout
114,Double Shot - Sumatra Mandheling,Tree House Brewing Company,Massachusetts,7.8,American Stout
115,Bad Boy,Alpine Beer Company,California,9,American Double / Imperial IPA
116,Born Yesterday Pale Ale,Lagunitas Brewing Company,California,6.5,American Pale Ale (APA)
